station,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours)
aberporth,12.481785860896542,7.265015381924591,1.4957826099961116,76.2383767535071,128.6499796693257
armagh,12.96779377785386,5.6871778399114445,3.2844114683344308,68.89927601809961,104.08014794161029
ballypatrick,11.413785140624773,5.581668534971601,2.6101496487834686,109.94536937913472,106.20204582651357
bradford,12.347669208795903,5.7565264014334225,3.7290023209342245,73.02648052836722,104.4525252527967
braemar,10.591871803069044,2.793068654092071,8.62204283887468,75.82917319803096,98.56078195439122
camborne,13.50824175824176,8.44249084249084,0.7417582417582418,90.24084249084244,133.29942668442666
cambridge,14.365856777493619,6.251790281329927,3.5639386189258313,46.49085081496373,124.81978823105109
cardiff,14.732974910394272,7.105017921146949,2.9301075268817205,98.42580645161293,124.3890167473646
chivenor,14.575076082392975,7.878777504614176,1.7485067710135278,75.14964932734333,138.6977335606745
cwmystwyth,11.669622848350182,4.907752092422741,5.082684102767321,149.84547884415485,97.03825401319675
dunstaffnage,12.440230483297954,6.318163091315025,2.4124046235337007,140.5698968997733,100.42745761850628
durham,12.427604996159909,4.8957920692024715,4.744726949351227,54.6243930635838,111.29085632053719
eastbourne,13.987851662404069,8.398081841432221,1.421994884910486,66.64040920716114,154.67647058823542
eskdalemuir,10.972860218633413,3.4677952111972736,7.168457727217496,135.5329896907215,97.2799036896365
heathrow,14.991466083150996,7.1417943107220925,2.916686629045261,50.80437636761494,128.82516958904793
hurn,14.660173697270466,5.9511166253101795,4.91439205955335,70.43449131513648,140.54624085591817
lerwick,9.509562109025918,5.089186773905274,3.127792672028597,96.97381590705982,89.09267202859704
leuchars,12.339702233250627,5.019230769230775,4.919354838709677,57.42940446650122,123.62568238213416
lowestoft,13.159711479513565,6.8652462654916695,2.5338220588335414,50.28946605158763,135.24574486159915
manston,13.80786929924491,7.257239302556548,2.2473893329173062,49.365864230704354,146.42745642206864
nairn,12.045091471041662,4.987209860703343,4.409105967825707,53.13166126680431,108.87378588088478
newtonrigg,12.223529411764716,4.870204603580557,5.008951406649617,79.30342312649704,109.08436637586847
oxford,13.984128529698157,6.24476459132826,3.6984821581992096,54.924634858811984,128.72826517364473
paisley,12.785933503836334,6.159590792838877,3.159846547314578,99.67148337595908,106.41867007672633
ringway,13.087339685809912,6.170239275596927,3.5228537397446744,67.90468619923455,114.82492917847006
rossonwye,14.075960679177843,6.271760500446832,3.7319034852546915,60.335120643431544,123.98686327077762
shawbury,13.520797359933065,5.373335707640155,4.934251981033001,55.958635394456245,114.92750948411918
sheffield,12.937627327840369,6.269483864386194,2.8667420408121655,67.08400236127494,111.44224482953251
southampton,14.40306415041666,6.754746124618886,3.176118099292979,66.53066888242623,137.11232126239733
stornoway,11.020584501395737,5.377820117018929,2.7623655193249315,100.45030438914304,100.61564156427482
suttonbonington,13.777237851662386,5.951023017902807,3.950127877237852,51.56093699255062,114.29712744058322
tiree,11.674680767798788,6.78835505757777,1.1328600707277008,99.53377170392386,117.80131273944195
valley,13.053083109919575,7.557015192135822,1.5737265415549597,71.32132824338498,132.98935190581665
waddington,13.30745140388768,6.0157667386609,3.6015918305482932,50.78477321814254,127.88423326133915
whitby,12.491599931880717,6.194122326811207,2.653616322933192,50.36847203088073,132.1204504305978
wickairport,10.525006592735508,5.038452997265747,3.5613272257355435,65.1278366111952,104.50147918660629
yeovilton,14.597338935574221,6.168627450980391,4.338935574229692,60.84691876750704,127.54472022736559
