Latitude,Longitude,dominant_cluster,count
50.218,-5.327,0,7
50.762,0.285,0,7
50.779,-1.835,0,7
50.898,-1.408,0,7
51.006,-2.641,0,7
51.089,-4.147,0,7
51.346,1.337,0,7
51.479,-0.449,0,7
51.488,-3.187,0,6
51.761,-1.262,0,7
51.911,-2.584,0,7
52.139,-4.57,0,6
52.245,0.102,0,7
52.358,-3.802,0,4
52.483,1.727,0,7
52.794,-2.663,0,6
52.833,-1.25,0,6
53.175,-0.522,0,7
53.252,-4.535,0,7
53.356,-2.279,0,6
53.381,-1.49,0,6
53.813,-1.772,0,5
54.352,-6.649,0,6
54.481,-0.624,0,7
54.67,-2.786,0,5
54.768,-1.585,0,5
55.181,-6.153,0,5
55.311,-3.206,0,4
55.846,-4.43,0,6
56.377,-2.861,0,5
56.451,-5.439,0,4
56.5,-6.88,0,6
57.006,-3.396,0,5
57.593,-3.821,0,5
58.214,-6.318,0,5
58.454,-3.088,0,5
60.139,-1.183,0,4
