station,tmax (degC),tmin (degC),af (days),rain (mm),sun (hours),cluster
aberporth,12.48178586089656,7.26501538192459,1.4957826099961116,76.23837675350701,128.64997966932583,-1
armagh,12.96779377785385,5.6871778399114365,3.2844114683344308,68.89927601809954,104.0801479416101,-1
ballypatrick,11.413785140624775,5.581668534971601,2.6101496487834677,109.94536937913465,106.20204582651391,-1
bradford,12.34766920879589,5.75652640143343,3.7290023209342245,73.02648052836729,104.45252525279685,-1
braemar,10.591871803069054,2.7930686540920715,8.62204283887468,75.82917319803097,98.5607819543911,-1
camborne,13.508241758241759,8.442490842490843,0.7417582417582418,90.2408424908425,133.2994266844267,-1
cambridge,14.365856777493606,6.251790281329923,3.5639386189258313,46.490850814963665,124.81978823105084,0
cardiff,14.732974910394265,7.1050179211469535,2.9301075268817205,98.4258064516129,124.38901674736422,-1
chivenor,14.575076082392973,7.8787775046141775,1.748506771013527,75.1496493273434,138.69773356067432,-1
cwmystwyth,11.669622848350187,4.907752092422729,5.08268410276732,149.8454788441548,97.03825401319679,-1
dunstaffnage,12.440230483297949,6.318163091315029,2.4124046235337007,140.5698968997734,100.42745761850651,-1
durham,12.427604996159909,4.895792069202473,4.744726949351227,54.62439306358382,111.29085632053688,-1
eastbourne,13.987851662404092,8.398081841432225,1.421994884910486,66.64040920716113,154.6764705882353,-1
eskdalemuir,10.972860218633414,3.467795211197273,7.168457727217501,135.53298969072165,97.27990368963646,-1
heathrow,14.991466083150986,7.141794310722101,2.916686629045261,50.80437636761488,128.82516958904793,-1
hurn,14.660173697270471,5.951116625310174,4.91439205955335,70.43449131513647,140.54624085591828,-1
lerwick,9.509562109025916,5.089186773905273,3.127792672028597,96.97381590705987,89.09267202859697,-1
leuchars,12.33970223325062,5.019230769230769,4.919354838709677,57.42940446650124,123.625682382134,-1
lowestoft,13.159711479513543,6.865246265491658,2.533822058833542,50.289466051587645,135.2457448615989,-1
manston,13.807869299244906,7.257239302556557,2.2473893329173067,49.3658642307044,146.42745642206856,-1
nairn,12.045091471041665,4.987209860703335,4.409105967825707,53.131661266804265,108.87378588088474,-1
newtonrigg,12.223529411764705,4.870204603580563,5.008951406649617,79.30342312649698,109.0843663758681,-1
oxford,13.98412852969815,6.244764591328255,3.6984821581992096,54.92463485881207,128.72826517364493,0
paisley,12.785933503836318,6.159590792838875,3.159846547314578,99.67148337595908,106.41867007672633,-1
ringway,13.08733968580994,6.170239275596924,3.5228537397446744,67.90468619923459,114.82492917847024,-1
rossonwye,14.075960679177838,6.2717605004468275,3.7319034852546915,60.33512064343164,123.98686327077748,0
shawbury,13.520797359933058,5.373335707640151,4.934251981033001,55.95863539445629,114.9275094841193,-1
sheffield,12.937627327840334,6.269483864386191,2.866742040812166,67.0840023612751,111.44224482953251,-1
southampton,14.403064150416665,6.754746124618891,3.1761180992929794,66.53066888242626,137.11232126239722,-1
stornoway,11.020584501395735,5.377820117018932,2.7623655193249315,100.45030438914296,100.6156415642745,-1
suttonbonington,13.777237851662402,5.951023017902813,3.950127877237852,51.560936992550644,114.29712744058388,-1
tiree,11.674680767798794,6.788355057577773,1.1328600707277008,99.5337717039238,117.80131273944174,-1
valley,13.053083109919571,7.557015192135835,1.5737265415549597,71.32132824338501,132.98935190581653,-1
waddington,13.30745140388769,6.015766738660908,3.6015918305482932,50.78477321814255,127.88423326133909,0
whitby,12.491599931880721,6.19412232681121,2.653616322933192,50.368472030880746,132.12045043059777,-1
wickairport,10.5250065927355,5.0384529972657495,3.5613272257355435,65.12783661119516,104.50147918660656,-1
yeovilton,14.59733893557423,6.168627450980392,4.338935574229692,60.846918767507,127.54472022736549,0
